,Time,ETHUSDT
0,2023-08-09 14:46:00,1861.69
0,2023-08-09 14:47:00,1862.07
0,2023-08-09 14:48:00,1862.06
0,2023-08-09 14:49:00,1862.44
0,2023-08-09 14:50:00,1862.07
0,2023-08-09 14:51:00,1862.07
0,2023-08-09 14:52:00,1862.08
0,2023-08-09 14:53:00,1862.56
0,2023-08-09 14:54:00,1862.71
0,2023-08-09 14:55:00,1862.97
0,2023-08-09 14:56:00,1862.81
0,2023-08-09 14:57:00,1865.34
0,2023-08-09 14:58:00,1864.22
0,2023-08-09 14:59:00,1864.53
0,2023-08-09 15:00:00,1864.52
0,2023-08-09 15:01:00,1863.54
0,2023-08-09 15:02:00,1863.59
0,2023-08-09 15:03:00,1864.16
0,2023-08-09 15:04:00,1864.0
0,2023-08-09 15:05:00,1863.6
0,2023-08-09 15:06:00,1863.2
0,2023-08-09 15:07:00,1863.39
0,2023-08-09 15:08:00,1863.2
0,2023-08-09 15:09:00,1863.36
0,2023-08-09 15:10:00,1863.28
0,2023-08-09 15:11:00,1863.04
0,2023-08-09 15:12:00,1863.04
0,2023-08-09 15:13:00,1862.88
0,2023-08-09 15:14:00,1862.9
0,2023-08-09 15:15:00,1862.63
0,2023-08-09 15:16:00,1862.27
0,2023-08-09 15:17:00,1861.99
0,2023-08-09 15:18:00,1861.91
0,2023-08-09 15:19:00,1861.72
0,2023-08-09 15:20:00,1861.56
0,2023-08-09 15:21:00,1861.55
0,2023-08-09 15:22:00,1861.4
0,2023-08-09 15:23:00,1861.4
0,2023-08-09 15:24:00,1861.31
0,2023-08-09 15:25:00,1861.05
0,2023-08-09 15:26:00,1861.05
0,2023-08-09 15:27:00,1861.04
0,2023-08-09 15:28:00,1860.5
0,2023-08-09 15:29:00,1860.6
0,2023-08-09 15:30:00,1860.59
0,2023-08-09 15:31:00,1860.21
0,2023-08-09 15:32:00,1860.59
0,2023-08-09 15:33:00,1860.72
0,2023-08-09 15:34:00,1860.71
0,2023-08-09 15:35:00,1860.2
0,2023-08-09 15:36:00,1860.2
0,2023-08-09 15:37:00,1860.07
0,2023-08-09 15:38:00,1859.8
0,2023-08-09 15:39:00,1859.81
0,2023-08-09 15:40:00,1859.73
0,2023-08-09 15:41:00,1859.64
0,2023-08-09 15:42:00,1859.73
0,2023-08-09 15:43:00,1860.56
0,2023-08-09 15:44:00,1861.0
0,2023-08-09 15:45:00,1861.19
